Language,Premiere,Runtime,Title
English,"March 6, 2015",1 h 21 min,My Own Man
English,"May 22, 2015",1 h 23 min,The Other One: The Long Strange Trip of Bob Weir
English,"May 29, 2015",1 h 24 min,Hot Girls Wanted
English,"June 26, 2015",1 h 24 min,"What Happened, Miss Simone?"
English,"July 17, 2015",1 h 20 min,Tig
English,"September 18, 2015",1 h 21 min,Keith Richards: Under the Influence
Ukrainian,"October 9, 2015",1 h 31 min,Winter on Fire: Ukraine's Fight for Freedom
English,"March 18, 2016",1 h 31 min,My Beautiful Broken Brain
English,"April 29, 2016",1 h 30 min,Team Foxcatcher
English,"July 15, 2016",1 h 56 min,Tony Robbins: I Am Not Your Guru
English,"August 19, 2016",1 h 19 min,I'll Sleep When I'm Dead
English,"September 13, 2016",24 min,Extremis
English,"September 16, 2016",40 min,The White Helmets
English,"September 23, 2016",1 h 38 min,Audrie & Daisy
English,"September 30, 2016",1 h 32 min,Amanda Knox
English,"October 7, 2016",1 h 40 min,13th
Mandarin,"October 14, 2016",1 h 19 min,Sky Ladder: The Art of Cai Guo-Qiang
English,"October 28, 2016",1 h 47 min,Into the Inferno
English,"November 4, 2016",1 h 52 min,The Ivory Game
English,"April 28, 2017",1 h 20 min,Casting JonBenet
English,"May 5, 2017",1 h 37 min,The Mars Generation
English,"May 12, 2017",1 h 41 min,Get Me Roger Stone
Portuguese,"May 19, 2017",1 h 40 min,Laerte-se
English,"May 26, 2017",1 h 18 min,Joshua: Teenager vs. Superpower
English,"June 16, 2017",1 h 31 min,CounterPunch
English,"June 23, 2017",1 h 35 min,Nobody Speak: Trials of the Free Press
English,"July 14, 2017",1 h 29 min,Chasing Coral
English,"August 4, 2017",2 h,Icarus
English,"September 1, 2017",27 min,Resurface
English,"September 12, 2017",39 min,Heroin(e)
English,"September 15, 2017",1 h 47 min,Strong Island
English,"September 22, 2017",1 h 40 min,Gaga: Five Foot Two
English,"September 29, 2017",40 min,Long Shot
English,"October 6, 2017",1 h 45 min,The Death and Life of Marsha P. Johnson
English,"October 13, 2017",1 h 49 min,Kingdom of Us
English,"October 20, 2017",1 h 35 min,One of Us
English,"October 27, 2017",1 h 38 min,Joan Didion: The Center Will Not Hold
English,"November 17, 2017",1 h 34 min,"Jim & Andy: The Great Beyond â€“ Featuring a Very Special, Contractually Obligated Mention of Tony Clifton"
English,"November 21, 2017",1 h 13 min,Saving Capitalism
English,"November 24, 2017",1 h 54 min,Cuba and the Cameraman
English,"December 1, 2017",1 h 35 min,Voyeur
