Time,Region,Revenues,Paid net membership additions (losses),Paid memberships at end of period,Average paying memberships,Average revenue per membership (2),% change as compared to prior-year period
2021-03-31,UCAN,3170972,448,74384,74160,14.25,0.09
2021-06-30,UCAN,3234643,-433,73951,74168,14.54,0.1
2021-09-30,UCAN,3257697,73,74024,73988,14.68,0.1
2021-12-31,UCAN,3308788,1191,75215,74620,14.78,0.09
2022-03-31,UCAN,3350424,-636,74579,74897,14.91,0.05
2022-06-30,UCAN,3537863,-1296,73283,73931,15.95,0.1
2022-09-30,UCAN,3601565,104,73387,73335,16.37,0.12
2022-12-31,UCAN,3594791,909,74296,73842,16.23,0.1
2023-03-31,UCAN,3608645,102,74398,74347,16.18,0.09
2023-06-30,UCAN,3599448,1173,75571,74985,16,0
2023-09-30,UCAN,3735133,1750,77321,76446,16.29,0
2021-03-31,EMEA,2343674,1810,68508,67603,11.56,0.11
2021-06-30,EMEA,2400480,188,68696,68602,11.66,0.11
2021-09-30,EMEA,2432239,1804,70500,69598,11.65,0.07
2021-12-31,EMEA,2523426,3536,74036,72268,11.64,0.05
2022-03-31,EMEA,2561831,-303,73733,73885,11.56,0
2022-06-30,EMEA,2457235,-767,72966,73350,11.17,-0.04
2022-09-30,EMEA,2375814,568,73534,73250,10.81,-0.07
2022-12-31,EMEA,2350135,3195,76729,75132,10.43,-0.1
2023-03-31,EMEA,2517641,644,77373,77051,10.89,-0.06
2023-06-30,EMEA,2562170,2434,79807,78590,10.87,-0.03
2023-09-30,EMEA,2693146,3953,83760,81784,10.98,0.02
2021-03-31,LATAM,836647,357,37894,37716,7.39,-0.08
2021-06-30,LATAM,860882,764,38658,38276,7.5,0.01
2021-09-30,LATAM,915297,330,38988,38823,7.86,0.08
2021-12-31,LATAM,964150,973,39961,39475,8.14,0.14
2022-03-31,LATAM,998948,-351,39610,39786,8.37,0.13
2022-06-30,LATAM,1030234,14,39624,39617,8.67,0.16
2022-09-30,LATAM,1023945,312,39936,39780,8.58,0.09
2022-12-31,LATAM,1016846,1763,41699,40818,8.3,0.02
2023-03-31,LATAM,1070192,-450,41249,41474,8.6,0.03
2023-06-30,LATAM,1077435,1217,42466,41858,8.58,-0.01
2023-09-30,LATAM,1142811,1179,43645,43056,8.85,0.03
2021-03-31,APAC,762414,1361,26853,26173,9.71,0.09
2021-06-30,APAC,799480,1022,27875,27364,9.74,0.09
2021-09-30,APAC,834002,2176,30051,28963,9.6,0.04
2021-12-31,APAC,870705,2581,32632,31342,9.26,-0.01
2022-03-31,APAC,916754,1087,33719,33176,9.21,-0.05
2022-06-30,APAC,907719,1080,34799,34259,8.83,-0.09
2022-09-30,APAC,889037,1429,36228,35514,8.34,-0.13
2022-12-31,APAC,856711,1795,38023,37126,7.69,-0.17
2023-03-31,APAC,933523,1455,39478,38751,8.03,-0.13
2023-06-30,APAC,919273,1068,40546,40012,7.66,-0.13
2023-09-30,APAC,948216,1881,42427,41487,7.62,-0.09